# units Angstroms
# source: N73 = Norlen, G., 1973, Phys. Scr., 8, 249
# C75 = Crosswhite, H.M., 1975, J Res Natl Bur Stand A Phys Chem., 79A(1): 17-69
#       doi: 10.6028/jres.079A.002
wave_air  element ion   int source intlev
--------- ------- --- ----- ------ ------
3465.8603      Fe   I  1200   C75
3490.5737      Fe   I  2500   C75
3581.1925      Fe   I  4000   C75
3608.8587      Fe   I  1500   C75
3618.7676      Fe   I  1500   C75
3631.4629      Fe   I  1200   C75
3647.8424      Fe   I  1500   C75
3679.9132      Fe   I  1500   C75
3705.5657      Fe   I  1200   C75
3719.9346      Fe   I  8000   C75
3745.5608      Fe   I  6000   C75       4
3820.4251      Fe   I  2500   C75       4
3856.3717      Fe   I  2500   C75       4
3859.9114      Fe   I 10000   C75       3
3878.5730      Fe   I  2000   C75       4
3886.2820      Fe   I  4000   C75       3
3895.6558      Fe   I   800   C75       4
3899.7073      Fe   I  1200   C75       4
3902.9452      Fe   I   400   C75       4
3906.4794      Fe   I   250   C75       4
3920.2577      Fe   I   600   C75       4
3922.9115      Fe   I  1200   C75       
3925.7188      Ar  II    17   N73       4
3930.2962      Fe   I  2000   C75       4
3946.0971      Ar  II    19   N73       4
3948.9789      Ar   I    17   N73       4
3969.2570      Fe   I   100   C75       4
3979.3559      Ar  II    15   N73       4
3994.7918      Ar  II    17   N73       4
4005.2414      Fe   I   400   C75       4
4033.8093      Ar  II    18   N73       3
4042.8937      Ar  II    21   N73       3
4045.8130      Fe   I  4000   C75       2
4052.9208      Ar  II    20   N73       4
4063.5939      Fe   I  1500   C75       3
4103.9121      Ar  II    21   N73       2
4118.5442      Fe   I   150   C75            
4131.7235      Ar  II    23   N73       1
4143.8688      Fe   I   800   C75       3
4158.5905      Ar   I    24   N73       1
4164.1795      Ar   I    18   N73       3
4198.3036      Fe   I   150   C75       2
4200.6745      Ar   I    24   N73       1
4216.1828      Fe   I   400   C75       4
4222.6373      Fe   I  1200   C75
4237.2198      Ar  II    20   N73       3
4259.3619      Ar   I    22   N73       3
4271.7593      Fe   I  1200   C75       3
4277.5282      Ar  II    25   N73       1
4294.1243      Fe   I    12   C75       4
4300.1008      Ar   I    20   N73       3
4307.9015      Fe   I  1200   C75       3
4315.0837      Fe   I   150   C75       4
4325.7615      Fe   I  1500   C75       3
4331.1995      Ar  II    22   N73       3
4333.5612      Ar   I    20   N73       3
4345.1680      Ar   I    16   N73       4
4348.0640      Ar  II    25   N73       1
4352.2049      Ar  II    18   N73       4
4362.0662      Ar  II    16   N73       4
4367.8316      Ar  II    18   N73       4
4375.9294      Fe   I   800   C75       3
4379.6668      Ar  II    21   N73       3
4383.5445      Fe   I  3000   C75       2
4400.9863      Ar  II    22   N73       3
4404.7499      Fe   I  1200   C75       3
4415.1222      Fe   I   300   C75       4
4426.0011      Ar  II    24   N73       2
4430.1890      Ar  II    21   N73       3
4433.8380      Ar  II    18   N73       4
4439.4614      Ar  II    15   N73       4
4448.8792      Ar  II    17   N73       
4461.6521      Fe   I   400   C75       4
4466.5508      Fe   I   120   C75       4
4474.7594      Ar  II    20   N73       3
4481.8107      Ar  II    22   N73       3
4498.5384      Ar  II    13   N73       4
4502.9268      Ar  II    14   N73       4
4510.7332      Ar   I    20   N73       3
4522.3230      Ar   I    15   N73       4
4530.5523      Ar  II    15   N73       4
4545.0519      Ar  II    24   N73       2
4579.3495      Ar  II    24   N73       3
4589.8978      Ar  II    24   N73       2
4596.0967      Ar   I    14   N73       4
4598.7627      Ar  II     9   N73       4
4609.5673      Ar  II    25   N73       2
4628.4409      Ar   I    12   N73       4
4637.2328      Ar  II    17   N73       4
4647.4329      Fe   I    30   C75       4
4657.9012      Ar  II    24   N73       3
4702.3161      Ar   I    14   N73       4
4726.8683      Ar  II    25   N73       2
4732.0532      Ar  II    18   N73       3
4735.9058      Ar  II    23   N73       3
4764.8646      Ar  II    26   N73       1
4806.0205      Ar  II    25   N73       2
4847.8095      Ar  II    21   N73       3
4859.7406      Fe   I    50   C75
4879.8635      Ar  II    26   N73       1
4889.0422      Ar  II    19   N73       3
4920.5018      Fe   I   500   C75       4
4933.2091      Ar  II    17   N73       4
4957.5966      Fe   I  1500   C75       3
4965.0795      Ar  II    22   N73       2
4972.1597      Ar  II    13   N73       4
5009.3344      Ar  II    18   N73       4
5017.1628      Ar  II    19   N73       3
5051.6336      Fe   I    30   C75       4
5062.0371      Ar  II    19   N73       3
5083.3377      Fe   I    20   C75       
5090.4951      Ar  II    15   N73       4
5110.3849      Fe   I                   4
5125.7654      Ar  II    13   N73       4
5141.7827      Ar  II    20   N73       3
5145.3083      Ar  II    19   N73       4
5162.2846      Ar   I    14   N73       4
5167.4873      Fe   I  2500   C75       2
5171.5953      Fe   I   500   C75       4
5187.7462      Ar   I    15   N73       4
5194.9412      Fe   I   200   C75       4
5221.2710      Ar   I    12   N73       4
5227.1697      Fe   I                   2
5232.9394      Fe   I   250   C75       4
5269.5366      Fe   I  1200   C75       1
5283.6206      Fe   I    60   C75       
5324.1782      Fe   I   150   C75       
5328.0376      Fe   I   800   C75       2
5341.0233      Fe   I   500   C75       
5371.4892      Fe   I   400   C75       2
5397.1269      Fe   I   300   C75       3
5405.7741      Fe   I   250   C75       3
5415.1997      Fe   I    60   C75       
5421.3517      Ar   I    11   N73       4
5429.6955      Fe   I   250   C75       3
5434.5228      Fe   I   100   C75       4
5446.8937      Fe   I                   3
5451.6520      Ar   I    13   N73       4
5455.6090      Fe   I   120   C75       3
5495.8738      Ar   I    16   N73       3
5558.7020      Ar   I    16   N73       2
5577.6845      Ar  II    12   N73       4
5586.7553      Fe   I   120   C75       4
5606.7330      Ar   I    17   N73       2
5615.6436      Fe   I                   3
5650.7043      Ar   I    15   N73       3
5681.9001      Ar   I     9   N73       4
5691.6612      Ar  II    11   N73       4
5739.5196      Ar   I    13   N73       4
5802.0798      Ar   I     9   N73       4
5812.7592      Ar  II    11   N73       4
5834.2633      Ar   I    11   N73       4
5860.3103      Ar   I    13   N73       4
5882.6242      Ar   I    14   N73       4
5888.5841      Ar   I    16   N73       3
5912.0853      Ar   I    18   N73       2
5928.8130      Ar   I    14   N73       3
5942.6686      Ar   I    11   N73       4
5949.2583      Ar   I     6   N73       4
5987.3016      Ar   I    12   N73       4
5998.9987      Ar   I    11   N73       4
6013.6777      Ar   I    10   N73       4
6025.1500      Ar   I    11   N73       4
6032.1274      Ar   I    19   N73       1
6043.2233      Ar   I    17   N73       3
6052.7229      Ar   I    13   N73       4
6059.3725      Ar   I    15   N73       3
6098.8031      Ar   I    12   N73       4
6105.6351      Ar   I    13   N73       4
6114.9234      Ar  II    21   N73       1
6123.3619      Ar  II    12   N73       4
6127.4160      Ar   I     9   N73       4
6145.4411      Ar   I    13   N73       4
6155.2385      Ar   I    10   N73       4
6172.2778      Ar  II    20   N73       1
6191.5583      Fe   I    40   C75          
6201.1002      Ar  II     9   N73       4
6212.5031      Ar   I    13   N73       4
6230.7260      Fe   I    40   C75       4
6243.1201      Ar  II    16   N73       4
6252.5537      Fe   I    30   C75       4
6296.8722      Ar   I    12   N73       3
6307.6570      Ar   I    14   N73       3
6324.4163      Ar  II    11   N73       4
6369.5748      Ar   I    12   N73       4
6384.7169      Ar   I    15   N73       2
6416.3071      Ar   I    19   N73       1
6437.6003      Ar  II    10   N73          
6466.5526      Ar   I     9   N73       4
6483.0825      Ar  II    16   N73       3
6538.1120      Ar   I    14   N73       3
6604.8534      Ar   I    14   N73       3
6632.0837      Ar   I     6   N73       4
6643.6976      Ar  II    18   N73       3
6666.3588      Ar  II    16   N73       3
6677.2817      Ar   I    20   N73       2
6684.2929      Ar  II    17   N73       3
6719.2184      Ar   I    10   N73       
6752.8335      Ar   I    21   N73       2
6766.6117      Ar   I    14   N73       3
6861.2688      Ar  II    15   N73       
6871.2891      Ar   I    21   N73       3
6879.5824      Ar   I    11   N73       4
6888.1742      Ar   I    13   N73       4
6937.6642      Ar   I    18   N73       4
6951.4776      Ar   I    12   N73       4
6965.4307      Ar   I    33   N73       2
7030.2514      Ar   I    21   N73       4
7067.2181      Ar   I    33   N73       2
7107.4778      Ar   I    16   N73       4
7125.8200      Ar   I    16   N73       4
7147.0416      Ar   I    27   N73       3
7158.8387      Ar   I    14   N73       4
7206.9804      Ar   I    19   N73       4
7265.1724      Ar   I    14   N73       4
7272.9359      Ar   I    29   N73       3
7311.7159      Ar   I    17   N73       4
7353.2930      Ar   I    19   N73       4
7372.1184      Ar   I    22   N73       4
7383.9805      Ar   I    33   N73       2
7392.9801      Ar   I    15   N73       4
7412.3368      Ar   I    14   N73       4
7425.2942      Ar   I    13   N73       4
7435.3683      Ar   I    16   N73       4
7471.1641      Ar   I    10   N73       4
7484.3267      Ar   I     9   N73       4
7503.8691      Ar   I    35   N73       1
7514.6518      Ar   I    34   N73       2
7589.3151      Ar  II    13   N73       4
7635.1060      Ar   I    36   N73       1
7670.0575      Ar   I     7   N73       4
7798.5604      Ar   I     5   N73       
7868.1946      Ar   I     6   N73       
7891.0750      Ar   I    13   N73       4
7948.1764      Ar   I    35   N73       3
8006.1567      Ar   I    35   N73       3
8014.7857      Ar   I    36   N73       2
8053.3085      Ar   I    12   N73       4
8103.6931      Ar   I    35   N73       2
8115.3110      Ar   I    37   N73       1
8264.5225      Ar   I    33   N73       3
8408.2096      Ar   I    34   N73       2
8424.6475      Ar   I    35   N73       2
8521.4422      Ar   I    34   N73       3
8605.7762      Ar   I    12   N73       4
8620.4602      Ar   I    10   N73       4
8667.9442      Ar   I    31   N73       2
8688.6213      Fe   I   150   C75       4
8761.6862      Ar   I    10   N73       4
8799.0875      Ar   I     8   N73       4
9122.9674      Ar   I    37   N73       1
9194.6385      Ar   I    25   N73       4
9224.4992      Ar   I    34   N73       2
9291.5313      Ar   I    24   N73       4
9354.2198      Ar   I    28   N73       3
9657.7863      Ar   I    36   N73       2
9784.5028      Ar   I    31   N73       3
